Count from total of 46030908 word 4-grams
274	AT	ANY	GIUEN	MOMENT
25	THE	TWO	ETHNIC	GROUPS
25	THE	NEW	CIUIL	RIGHTS
25	TO	HER	CNEES	BESIDE
25	NO	ONE	WOULD	LISTEN
25	IF	SHE	REALLY	WANTED
25	DO	NOT	DRINC	COFFEE
24	IS	NOT	ABOUT	WHETHER
24	HE	WAS	STRO(I)NG	ENOUGH
23	TO	GET	BREAST	CANCER
23	TO	BR(I)NG	ABOUT	CHA(I)NGES
23	OF	HIS	LEATHER	JACCET
23	IT	WAS	NEUER	ENOUGH
23	HE	WAS	WALC(I)NG	AROUND
23	HE	WAS	GETT(I)NG	BETTER
22	THE	AIR	FORCE	OFFICE
22	IT	WAS	REALLY	SOMETH(I)NG
22	IN	OUR	ARMED	FORCES
22	HE	WAS	WALC(I)NG	THROUGH
22	HE	WAS	WALC(I)NG	TOWARD
22	HE	WAS	FEEL(I)NG	BETTER
22	BY	HIS	OLDER	BROTHER
21	TH(I)NG	THAT	WOULD	HAPPEN
21	OF	ITS	ARMED	FORCES
21	IT	WAS	RIGHT	BEFORE
21	IS	THAT	PEOPLE	SHOULD
21	IS	NOT	LARGE	ENOUGH
20	NO	ONE	COULD	ACCUSE
20	IT	HAS	SINCE	BECOME
20	IS	NOT	LARGE	ENOUGH
20	HE	HAD	NEUER	SPOCEN
20	AS	THEY	DROUE	THROUGH
19	THE	SUN	SHIN(I)NG	THROUGH
19	THE	REAL	REASON	BEHIND
19	SO	WHY	WOULD	ANYONE
19	NO	ONE	CNOWS	BETTER
19	DO	NOT	STICC	AROUND
19	AS	THEY	MOUED	THROUGH
19	AS	SHE	WALCS	THROUGH
19	AN	IUY	LEAGUE	SCHOOL
18	THE	OLD	WOMAN	LOOCED
18	ON	OUR	RADAR	SCREEN
18	IT	MAY	SOUND	STRA(I)NGE
18	IN	OUR	LEGAL	SYSTEM
18	HE	WAS	LOOC(I)NG	AROUND
18	HE	HAS	NEUER	SPOCEN
18	DO	NOT	TRUST	MYSELF
18	AS	SHE	MOUED	TOWARD
17	WE	ARE	UNDER	ATTACC
17	WE	ARE	LUCCY	ENOUGH
17	UP	WITH	ANYTH(I)NG	BETTER
17	THE	REAL	POWER	BEHIND
17	TO	HIS	CNEES	BEFORE
17	IT	WAS	MONTHS	BEFORE
17	IT	WAS	LARGE	ENOUGH
17	IT	WAS	CWITE	OBUIOUS
17	DO	NOT	REALLY	NOTICE
17	AS	THEY	MOUED	TOWARD
17	AS	SHE	STOOD	BEFORE
16	WE	CAN	NEUER	FORGET
16	THE	NEW	BLACC	PANTHER
16	TO	HER	OLDER	SISTER
16	ON	HIS	CNEES	BESIDE
16	ON	HIS	CNEES	BEFORE
16	OF	HIS	BREAST	POCCET
16	IT	WAS	RIGHT	AROUND
16	IN	OUR	FOCUS	GROUPS
16	IN	HIS	LATER	WRIT(I)NGS
16	IF	YOU	WOULD	PREFER
16	IF	YOU	COULD	CHOOSE
16	AS	SHE	MOUES	THROUGH
16	AS	SHE	HEADED	TOWARD
15	THE	SUN	BREACS	THROUGH
15	OF	TH(I)NGS	COULD	HAPPEN
15	OF	OUR	CIUIL	RIGHTS
15	IT	WAS	STILL	PRETTY
15	IS	NOT	GETT(I)NG	ENOUGH
15	IN	ITS	FINAL	STAGES
15	IN	HIS	INNER	CIRCLE
15	IN	HIS	FIRST	SPEECH
15	HE	WAS	UNDER	ARREST
15	HE	WAS	MISS(I)NG	SOMETH(I)NG
15	HE	WAS	BREATH(I)NG	HEAUILY
15	HE	HAS	NEUER	BEFORE
15	HE	HAD	NEUER	WANTED
15	HE	HAD	NEUER	PLAYED
15	DO	NOT	REALLY	REALISE
14	WE	ARE	STILL	FIGHT(I)NG
14	THE	TWO	SIDES	SHOULD
14	THE	TOW	TRUCC	DRIUER
14	THE	NEW	HAUEN	POLICE
14	TO	SIX	MONTHS	BEFORE
14	OF	HIS	CLOSE	FRIEND
14	IT	WAS	HOURS	BEFORE
14	IT	WAS	CWITE	COMMON
14	IT	WAS	CWITE	ANOTHER
14	IN	THIS	WORLD	WITHOUT
14	IN	THIS	WHOLE	DEBATE
14	IN	OUR	COURT	SYSTEM
14	IN	HER	APRON	POCCET
14	HE	WAS	STILL	WATCH(I)NG
14	HE	HAS	SINCE	BECOME
14	HE	HAD	LIUED	THROUGH
14	AS	WAS	NOTED	EARLIER
14	AS	THEY	COULD	BEFORE
14	AS	SHE	MOUED	THROUGH
13	WE	ARE	HEADED	TOWARD
13	UP	AND	RUNN(I)NG	BEFORE
13	UP	ALL	NIGHT	WATCH(I)NG
13	THE	WAY	PEOPLE	THOUGHT
13	THE	TWO	PARTY	SYSTEM
13	THE	SUN	NEUER	SHINES
13	THE	SIX	MONTHS	BEFORE
13	TO	TWO	HOURS	BEFORE
13	TO	OUR	SOLAR	SYSTEM
13	TO	HER	CNEES	BEFORE
13	OF	OUR	INNER	CITIES
13	OF	OUR	HUMAN	NATURE
13	OF	NEW	POWER	PLANTS
13	OF	ITS	HUMAN	RIGHTS
13	NO	ONE	COULD	AFFORD
13	ME	HIS	PHONE	NUMBER
13	IT	WAS	REALLY	STRA(I)NGE
13	IT	WAS	AFTER	ELEUEN
13	IT	MAY	NEUER	HAPPEN
13	IN	THIS	STUDY	SHOWED
13	IN	HIS	FINAL	REPORT
13	IN	ALL	CASES	EXCEPT
13	HE	WAS	STILL	AROUND
13	HE	WAS	SITT(I)NG	BEHIND
13	HE	WAS	RUNN(I)NG	AROUND
13	HE	WAS	PASS(I)NG	THROUGH
13	HE	WAS	LOOC(I)NG	THROUGH
13	HE	HAS	NEUER	GOTTEN
13	HE	HAD	NEUER	LEARNED
13	HE	GOT	CLOSE	ENOUGH
13	DO	NOT	REALLY	LISTEN
13	AS	YOU	MIGHT	RECALL
13	AS	SHE	WALCS	TOWARD
13	AS	SHE	MOUES	TOWARD
